,Model Name,MAE,MAPE,RMSE
0,Random Forest Regressor,679.9676982934823,0.0999760533123839,1011.7592697754168
0,XGBoost Regressor tuned,762.8873373081931,0.11512971491883575,1094.7461273017886
0,Average Model,1354.8003525745382,0.45505115813983804,1835.1355423287778
0,Linear Regression,1867.0897737576756,0.2926940304605552,2671.0492151382964
0,Linear Regression - Lasso,1891.7048805079528,0.2891056600502951,2744.451737049481
0,XGBoost Regressor,6683.74013236751,0.9494970304720298,7331.029850711372
